# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  0)   0.116 us    |                blk_account_io_done();
  0)   1.885 us    |                __blk_put_request();
  0) + 20.957 us   |              }
  0) + 29.056 us   |            }
  0) + 29.466 us   |          }
  0)               |          blk_run_queue() {
  0)               |            __blk_run_queue() {
  0)               |              blk_peek_request() {
  0)               |                blk_rq_map_sg() {
  0)   0.186 us    |                  __blk_bios_map_sg();
  0)   0.598 us    |                }
  0)   3.196 us    |              }
  0)               |              blk_start_request() {
  0)   0.059 us    |                blk_dequeue_request();
  0)               |                blk_add_timer() {
  0)   0.313 us    |                  __blk_add_timer();
  0)   0.692 us    |                }
  0)   1.489 us    |              }
  0)               |              blk_peek_request() {
  0)               |                blk_rq_map_sg() {
  0)   0.241 us    |                  __blk_bios_map_sg();
  0)   0.669 us    |                }
  0)   4.192 us    |              }
  0)               |              blk_start_request() {
  0)   0.061 us    |                blk_dequeue_request();
  0)               |                blk_add_timer() {
  0)   0.310 us    |                  __blk_add_timer();
  0)   0.678 us    |                }
  0)   1.503 us    |              }
  0)   0.763 us    |              blk_peek_request();
  0) + 82.555 us   |            }
  0) + 83.016 us   |          }
  0)               |          blk_end_request() {
  0)               |            blk_end_bidi_request() {
  0)               |              blk_update_bidi_request() {
  0)               |                blk_update_request() {
  0)   0.055 us    |                  blk_account_io_completion();
  0)   0.180 us    |                  bio_advance();
  0)               |                  bio_endio() {
  0)               |                    bio_put() {
  0)   0.035 us    |                      bio_disassociate_task();
  0)   0.726 us    |                    }
  0)               |                    bio_endio() {
  0)               |                      bio_put() {
  0)   0.045 us    |                        bio_disassociate_task();
  0)   0.663 us    |                      }
  0)   1.734 us    |                    }
  0)   3.934 us    |                  }
  0)   5.686 us    |                }
  0)   6.803 us    |              }
  0)               |              blk_finish_request() {
  0)   0.040 us    |                blk_delete_timer();
  0)   0.093 us    |                blk_account_io_done();
  0)   1.219 us    |                __blk_put_request();
  0)   2.669 us    |              }
  0) + 10.251 us   |            }
  0) + 10.709 us   |          }
  0)               |          blk_run_queue() {
  0)               |            __blk_run_queue() {
  0)   0.138 us    |              blk_peek_request();
  0)   0.517 us    |            }
  0)   0.947 us    |          }
  0)               |          blk_end_request() {
  0)               |            blk_end_bidi_request() {
  0)               |              blk_update_bidi_request() {
  0)               |                blk_update_request() {
  0)   0.042 us    |                  blk_account_io_completion();
  0)   0.084 us    |                  bio_advance();
  0)               |                  bio_endio() {
  0)               |                    bio_put() {
  0)   0.035 us    |                      bio_disassociate_task();
  0)   0.480 us    |                    }
  0)               |                    bio_endio() {
  0)               |                      bio_put() {
  0)   0.042 us    |                        bio_disassociate_task();
  0)   0.468 us    |                      }
  0)   0.977 us    |                    }
